bucket,n,avg_pred,actual_accuracy,gap,ece
0.50-0.52,83,0.5101968980302313,0.4939759036144578,-0.01622099441577346,0.05460108934666284
0.52-0.54,67,0.5292040337217495,0.4626865671641791,-0.0665174665575704,0.05460108934666284
0.54-0.56,27,0.5474908596100393,0.4074074074074074,-0.1400834522026319,0.05460108934666284
0.56-0.58,8,0.5644919404743938,0.5,-0.06449194047439377,0.05460108934666284
0.58-0.60,0,,,,0.05460108934666284
0.60-1.00,0,,,,0.05460108934666284
