created_at,current_issue,api_rows,new_rows,gap_count,duplicate_count,stale_flag,drift_seconds,health,detail_json
2026-09-25T17:38:53+07:00,202609252118,100,1,0,0,0,0.0,OK,"{""stored_recent"": 131, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:39:23+07:00,202609252119,100,1,0,0,0,0.0,OK,"{""stored_recent"": 132, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:39:53+07:00,202609252120,100,1,0,0,0,0.0,OK,"{""stored_recent"": 133, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:40:23+07:00,202609252121,100,1,0,0,0,0.0,OK,"{""stored_recent"": 134, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:40:53+07:00,202609252122,100,1,0,0,0,0.0,OK,"{""stored_recent"": 135, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:41:23+07:00,202609252123,100,1,0,0,0,0.0,OK,"{""stored_recent"": 136, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:41:53+07:00,202609252124,100,1,0,0,0,0.0,OK,"{""stored_recent"": 137, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:42:23+07:00,202609252125,100,1,0,0,0,0.0,OK,"{""stored_recent"": 138, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:42:53+07:00,202609252126,100,1,0,0,0,0.0,OK,"{""stored_recent"": 139, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:43:23+07:00,202609252127,100,1,0,0,0,0.0,OK,"{""stored_recent"": 140, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:43:53+07:00,202609252128,100,1,0,0,0,0.0,OK,"{""stored_recent"": 141, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:44:23+07:00,202609252129,100,1,0,0,0,0.0,OK,"{""stored_recent"": 142, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:44:53+07:00,202609252130,100,1,0,0,0,0.0,OK,"{""stored_recent"": 143, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:45:23+07:00,202609252131,100,1,0,0,0,0.0,OK,"{""stored_recent"": 144, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:45:53+07:00,202609252132,100,1,0,0,0,0.0,OK,"{""stored_recent"": 145, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:46:23+07:00,202609252133,100,1,0,0,0,0.0,OK,"{""stored_recent"": 146, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:46:53+07:00,202609252134,100,1,0,0,0,0.0,OK,"{""stored_recent"": 147, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:47:23+07:00,202609252135,100,1,0,0,0,0.0,OK,"{""stored_recent"": 148, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
2026-09-25T17:47:53+07:00,202609252136,100,1,0,0,0,0.0,OK,"{""stored_recent"": 149, ""gaps"": 0, ""stale"": 0, ""drift_seconds"": 0}"
