model,n,number_logloss,size_brier,size_accuracy,top3_accuracy
rolling,139,2.34415181846728,0.2534964715409746,0.48201438848920863,0.26618705035971224
markov1,139,2.3854485638500003,0.26420108780798884,0.4460431654676259,0.2805755395683453
markov2,139,2.3287585018585917,0.25526498987471136,0.4676258992805755,0.3237410071942446
markov3,139,2.309026694298604,0.2510912283125249,0.4676258992805755,0.3237410071942446
logistic,27,2.8122670293468928,0.28934773262860447,0.48148148148148145,0.3333333333333333
random_forest,27,2.364685593604424,0.24910337392125137,0.5555555555555556,0.2222222222222222
hist_gradient_boosting,27,2.846344759004979,0.3069282258647916,0.5185185185185185,0.2962962962962963
